ID,Pagina,Sezione,Tipo,Contenuto placeholder attuale,Vincoli/Note,Contenuto cliente
HA1,Home,A - Hero,Titolo,"Fooody — agenzia creativa food","visually-hidden: testo letto solo da screen reader — max 60 caratteri consigliati",
HA2,Home,A - Hero,Sottotitolo,agenzia creativa · food & dintorni,"single line eyebrow, max ~40 caratteri",
HA3,Home,A - Hero,Video,video · presentazione · 40",,
HB1,Home,B - Manifesto,Sottotitolo,— manifesto,"eyebrow con prefisso dash, max ~20 caratteri",
HB2,Home,B - Manifesto,Titolo,Il food non si vende. Si fa desiderare.,"kinetic text (data-kinetic=words), maxWidth 18ch ≈ ~80 caratteri",
HB3,Home,B - Manifesto,Paragrafo,"Crediamo che dietro ogni piatto, ogni brand e ogni scroll ci sia una persona affamata di qualcosa di buono. Il nostro lavoro è apparecchiare la tavola giusta — con metodo, gusto e un pizzico di sfacciataggine.","maxWidth 52ch ≈ ~260 caratteri",
HB4,Home,B - Manifesto,KPI,40+ / clienti serviti,"numero animato (data-count) — fornire solo il numero intero; etichetta 'clienti serviti' è fissa nel codice",
HB5,Home,B - Manifesto,KPI,+340% / engagement medio,"numero animato — fornire solo il numero; ha prefisso '+' e suffisso '%' già nel codice",
HB6,Home,B - Manifesto,KPI,5 / anni a tavola,"numero animato — fornire solo il numero intero",
HC1,Home,C - Servizi,Sottotitolo,quattro modi di lavorare con noi,"single line, max ~45 caratteri",
HC2,Home,C - Servizi,Titolo,"Scegli la portata. Al resto pensiamo noi.","kinetic (lines), due righe, max ~20ch per riga",
HC3,Home,C - Servizi,Paragrafo,"Stesso studio, quattro appetiti diversi. Entra dalla porta che ti somiglia — o chiamaci e te lo diciamo noi.","maxWidth 34ch ≈ ~170 caratteri",
HC4,Home,C - Servizi,Titolo Card,Metodo Fooody,"service card title, max ~30 caratteri",
HC5,Home,C - Servizi,Sottotitolo Card,"per ristoranti, catene & chi vive di coperti","mono subtitle, max ~50 caratteri",
HC6,Home,C - Servizi,Paragrafo Card,"Il nostro sistema completo per la ristorazione: social che riempiono i tavoli, menù che vendono, identità che si ricordano. Cinque pilastri, zero fronzoli.","max ~180 caratteri",
HC7,Home,C - Servizi,KPI Card,"es. Trattoria Tale · +340% engagement, +180% prenotazioni in 6 mesi","mono-xs — un esempio reale di risultato, max ~80 caratteri",
HC8,Home,C - Servizi,Titolo Card,Social Media,"max ~30 caratteri",
HC9,Home,C - Servizi,Sottotitolo Card,"per brand, retailer e aziende — anche oltre il food","max ~55 caratteri",
HC10,Home,C - Servizi,Paragrafo Card,"Strategia, contenuti e community che non fanno scrollare oltre. Dal reel virale alla campagna che converte: pensiamo, giriamo, pubblichiamo, misuriamo.","max ~180 caratteri",
HC11,Home,C - Servizi,KPI Card,"es. Brand Tale · 5M views virali · community +28k in 4 mesi","mono-xs, max ~80 caratteri",
HC12,Home,C - Servizi,Titolo Card,Web Design,"max ~30 caratteri",
HC13,Home,C - Servizi,Sottotitolo Card,"siti che convertono, non solo che si guardano","max ~55 caratteri",
HC14,Home,C - Servizi,Paragrafo Card,"UX, UI, sviluppo e SEO sotto lo stesso tetto. Costruiamo siti veloci, belli e onesti — dove il bottone giusto è sempre a portata di pollice.","max ~180 caratteri",
HC15,Home,C - Servizi,KPI Card,"es. E-shop Tale · da 0 a 18k visite/mese · checkout in 2 step","mono-xs, max ~80 caratteri",
HC16,Home,C - Servizi,Titolo Card,Branding,"max ~30 caratteri",
HC17,Home,C - Servizi,Sottotitolo Card,identità che si riconoscono al primo morso,"max ~55 caratteri",
HC18,Home,C - Servizi,Paragrafo Card,"Strategia, naming, identità visiva e packaging. Diamo al tuo brand una faccia, una voce e un carattere — di quelli che non si scordano facilmente.","max ~180 caratteri",
HC19,Home,C - Servizi,KPI Card,"es. Brand Tale · rebranding completo · a scaffale in 8 settimane","mono-xs, max ~80 caratteri",
HD1,Home,D - Clienti,Sottotitolo,hanno mangiato con noi,,
HD2,Home,D - Clienti,Immagine,CLIENTE (logo placeholder),"logo monocromatico SVG — fornire file SVG o PNG monocromo; rinominare HD2.svg",
HD3,Home,D - Clienti,Immagine,Trattoria (logo placeholder),"come HD2 — file HD3.svg",
HD4,Home,D - Clienti,Immagine,FoodCo (logo placeholder),file HD4.svg,
HD5,Home,D - Clienti,Immagine,Brand· (logo placeholder),file HD5.svg,
HD6,Home,D - Clienti,Immagine,Mercato (logo placeholder),file HD6.svg,
HD7,Home,D - Clienti,Immagine,Forno+ (logo placeholder),file HD7.svg,
HD8,Home,D - Clienti,Immagine,Vino & Co (logo placeholder),file HD8.svg,
HD9,Home,D - Clienti,Immagine,DeliKa (logo placeholder),file HD9.svg,
HE1,Home,E - Lavori,Sottotitolo,già fatto venire l'acquolina a,,
HE2,Home,E - Lavori,Titolo,Lavori scelti.,"kinetic (lines)",
HE3,Home,E - Lavori,Immagine,case · cover 4:5 (placeholder),"immagine copertina case study 1 — formato 4:5 (800×1000px min); file HE3.jpg",
HE4,Home,E - Lavori,Titolo Card,Nome Cliente (case 1),"nome del cliente reale — max ~30 caratteri",
HE5,Home,E - Lavori,Sottotitolo Card,ristorazione · social + branding,"settore e servizi — max ~45 caratteri",
HE6,Home,E - Lavori,KPI Card,+340%,"risultato principale — numero breve (es. +340% o 5M) — max ~8 caratteri",
HE7,Home,E - Lavori,Immagine,case · cover 4:5 (placeholder),"formato 4:5 — file HE7.jpg",
HE8,Home,E - Lavori,Titolo Card,Nome Cliente (case 2),"max ~30 caratteri",
HE9,Home,E - Lavori,Sottotitolo Card,food brand · social + adv,"max ~45 caratteri",
HE10,Home,E - Lavori,KPI Card,5M,"max ~8 caratteri",
HE11,Home,E - Lavori,Immagine,case · cover 4:5 (placeholder),"formato 4:5 — file HE11.jpg",
HE12,Home,E - Lavori,Titolo Card,Nome Cliente (case 3),"max ~30 caratteri",
